Country Name,Rank,Male,Female,Average,Forest area (1000 ha),Country Code,Population (1000)
DR. Congo,210,56.1,58.3,57.7,126155,COD,89561403
Burkina Faso,211,53.8,58,55.9,6216,BFA,20321378
Niger,212,54.7,57.3,55.9,1080,NER,23310715
Uganda,213,54.4,57.3,55.9,2338,UGA,44269594
Nigeria,214,52.8,55,53.8,21627,NGA,200963599
Mozambique,215,52.9,54.5,53.7,36744,MOZ,30366036
Lesotho,216,53,53.1,53,35,LSO,2125268
Somalia,217,50.7,54.9,52.8,5980,SOM,15442905
Central African Republic,218,51.4,54.2,52.8,22303,CAF,4745185
Zambia,219,51.1,54.4,52.7,44814,ZMB,17861030
Gabon,220,51.7,52.5,52.1,23531,GAB,2172579
Afghanistan,222,50.3,53.2,51.7,1208,AFG,38041754
Guinea-Bissau,223,48.9,53.1,51,1980,GNB,1920922
Chad,224,49.4,51.9,50.6,4313,TCD,15946876
