Country Name,Rank,Male,Female,Average,Forest area (1000 ha)
Monaco,1,85.6,93.5,89.4,0.0
Japan,2,81.9,88.8,85.3,24935.0
Singapore,3,82.6,88.1,85.2,16.0
San Marino,5,80.8,86.1,83.3,1.0
Iceland,6,80.9,85.4,83.1,51.0
Andorra,8,80.7,85.2,82.9,16.0
Switzerland,10,80.3,85.1,82.6,1269.0
Israel,11,80.7,84.5,82.5,140.0
South Korea,12,79.3,85.8,82.5,6030.0
Luxembourg,13,79.9,84.9,82.3,89.0
Australia,14,79.8,84.9,82.3,134005.0
Italy,15,79.6,85.1,82.3,9566.0
Sweden,16,80.2,84.2,82.1,27980.0
Canada,17,79.3,84.7,81.9,346928.0
Liechtenstein,19,79.7,84.7,81.9,7.0
Norway,21,79.8,84.0,81.9,12180.0
Spain,22,78.8,84.9,81.8,18572.0
Austria,23,78.9,84.4,81.6,3899.0
Bermuda,25,78.2,84.6,81.4,1.0
Netherlands,26,79.3,83.7,81.4,370.0
Cayman Islands,27,78.6,84.1,81.3,13.0
New Zealand,29,79.1,83.5,81.3,9893.0
Belgium,30,78.5,83.8,81.1,689.0
Finland,31,78.0,84.1,81.0,22409.0
Ireland,32,78.6,83.4,80.9,782.0
Puerto Rico,33,77.6,84.4,80.9,496.0
Germany,34,78.5,83.3,80.8,11419.0
United Kingdom,35,78.6,83.1,80.8,3190.0
Greece,36,78.0,83.4,80.7,3902.0
Qatar,43,77.7,82.2,80.0,0.0
Denmark,47,77.1,82.1,79.5,628.0
Portugal,48,76.2,82.9,79.4,3312.0
Chile,51,75.9,82.1,78.9,18211.0
Cuba,52,76.5,81.3,78.8,3242.0
Cyprus,53,76.0,81.8,78.8,173.0
Panama,56,76.0,81.7,78.8,4214.0
Czech Republic,57,75.8,81.9,78.8,2677.0
Costa Rica,58,76.1,81.5,78.7,3035.0
Albania,59,75.8,81.4,78.5,789.0
Slovenia,61,74.8,82.2,78.3,1238.0
Dominican Republic,62,76.0,80.6,78.3,2144.0
Kuwait,64,76.8,79.6,78.2,6.0
New Caledonia,65,73.9,82.0,77.9,838.0
Saint Lucia,66,75.2,80.8,77.9,21.0
Lebanon,67,76.5,79.1,77.8,143.0
Poland,68,73.9,81.8,77.8,9483.0
United Arab Emirates,69,75.0,80.4,77.7,317.0
Paraguay,71,74.7,80.2,77.4,16102.0
Uruguay,72,74.2,80.6,77.4,2031.0
Brunei,73,75.0,79.8,77.3,380.0
Argentina,74,74.2,80.6,77.3,28573.0
Slovakia,75,73.7,81.1,77.3,1926.0
